
Complement 5a Receptor Antagonist [EPC],CAT013,Others
Colony-Stimulating Factors [CS],CAT013,Others
Colony Stimulating Factor Receptor Type 1 (CSF-1R) Inhibitors [MoA],CAT013,Others
Collagen-specific Enzyme [EPC],CAT013,Others
Claudin 18.2-directed Antibody Interactions [MoA],CAT013,Others
Classical Complement Pathway Inhibitor [EPC],CAT013,Others
Cholinesterase Reactivator [EPC],CAT013,Others
Cholinesterase Inhibitors [MoA],CAT013,Others
Cholinesterase Inhibitor [EPC],CAT013,Others
Cholinergic Nicotinic Agonist [EPC],CAT013,Others
Complement Inhibitor [EPC],CAT013,Others
Cholinergic Muscarinic Antagonist [EPC],CAT013,Others
Cholinergic Muscarinic Agonist [EPC],CAT013,Others
Cholinergic Agonists [MoA],CAT013,Others
Cholecystokinin Analog [EPC],CAT013,Others
Cholecalciferol [CS],CAT013,Others
Chloride Channel Activator [EPC],CAT013,Others
Chloride Channel Activation Potentiators [MoA],CAT013,Others
Chelating Activity [MoA],CAT013,Others
Centrally-mediated Muscle Relaxation [PE],CAT013,Others
Catecholamines [CS],CAT013,Others
Catecholamine [EPC],CAT013,Others
Catecholamine Synthesis Inhibitor [EPC],CAT013,Others
Catechol O-Methyltransferase Inhibitors [MoA],CAT013,Others
Cholinergic Muscarinic Agonists [MoA],CAT013,Others
Contrast Agent for Ultrasound Imaging [EPC],CAT013,Others
Complement C5 Inhibitor [EPC],CAT013,Others
Cytochrome P450 1A1 Inhibitors [MoA],CAT013,Others
Cytochrome P450 3A Inducers [MoA],CAT013,Others
Cytochrome P450 2D6 Inhibitors [MoA],CAT013,Others
Cytochrome P450 2C9 Inhibitors [MoA],CAT013,Others
Cytochrome P450 2C9 Inducers [MoA],CAT013,Others
Cytochrome P450 2C8 Inhibitors [MoA],CAT013,Others
Cytochrome P450 2C8 Inducers [MoA],CAT013,Others
Cytochrome P450 2C19 Inhibitors [MoA],CAT013,Others
Cytochrome P450 2C19 Inducers [MoA],CAT013,Others
Cytochrome P450 2B6 Inhibitors [MoA],CAT013,Others
Cytochrome P450 2B6 Inducers [MoA],CAT013,Others
Cytochrome P450 1A2 Inhibitors [MoA],CAT013,Others
Cytochrome P450 1A2 Inducers [MoA],CAT013,Others
Copper Absorption Inhibitor [EPC],CAT013,Others
Cytochrome P450 17A1 Inhibitor [EPC],CAT013,Others
gamma-Cyclodextrins [CS],CAT013,Others
Cyclic Pyranopterin Monophosphate [EPC],CAT013,Others
Corticosteroid Hormone Receptor Agonists [MoA],CAT013,Others
Cortisol Synthesis Inhibitor [EPC],CAT013,Others
Cystine Disulfide Reduction [MoA],CAT013,Others
Cyclin-dependent Kinase 4 Inhibitors [MoA],CAT013,Others
Copper [CS],CAT013,Others
Cystine Depleting Agent [EPC],CAT013,Others
Copper Chelating Activity [MoA],CAT013,Others
Opioid Antagonist [EPC],CAT010,Pain Management
Opioid Agonist [EPC],CAT010,Pain Management
Kappa Opioid Receptor Agonist [EPC],CAT010,Pain Management
Anti-Inflammatory Agents,CAT010,Pain Management
Full Opioid Agonists [MoA],CAT010,Pain Management
Partial Opioid Agonist [EPC],CAT010,Pain Management
Competitive Opioid Antagonists [MoA],CAT010,Pain Management
Opioid mu-Receptor Agonists [MoA],CAT010,Pain Management
Tricyclic Antidepressant [EPC],CAT011,Psychiatry
Atypical Antipsychotic [EPC],CAT011,Psychiatry
Typical Antipsychotic [EPC],CAT011,Psychiatry
Decreased Respiratory Secretion Viscosity [PE],CAT012,Respiratory
Increased Medullary Respiratory Drive [PE],CAT012,Respiratory
